request_id,therapist_id,session_id,request_date,converted
r_000001,t_0002,s_000016,2024-12-31,false
r_000002,t_0002,s_000018,2024-12-31,false
r_000003,t_0002,s_000029,2024-12-20,true
r_000004,t_0002,s_000033,2024-12-31,true
r_000005,t_0002,s_000034,2024-12-31,false
r_000006,t_0002,s_000038,2024-12-31,true
r_000007,t_0002,s_000040,2024-12-24,false
r_000008,t_0003,s_000050,2024-03-10,true
r_000009,t_0003,s_000058,2024-01-17,true
r_000010,t_0003,s_000059,2024-02-04,false
r_000011,t_0003,s_000069,2024-01-28,true
r_000012,t_0005,s_000094,2024-12-27,false
r_000013,t_0005,s_000098,2024-11-20,true
r_000014,t_0005,s_000102,2024-11-08,true
r_000015,t_0005,s_000104,2024-11-26,true
r_000016,t_0005,s_000108,2024-12-17,true
r_000017,t_0005,s_000111,2024-11-28,true
r_000018,t_0006,s_000116,2024-08-14,true
r_000019,t_0006,s_000120,2024-07-21,false
r_000020,t_0006,s_000121,2024-07-06,false
r_000021,t_0006,s_000123,2024-07-11,true
r_000022,t_0007,s_000151,2024-07-29,true
r_000023,t_0007,s_000155,2024-08-22,false
r_000024,t_0008,s_000163,2024-02-21,true
r_000025,t_0008,s_000169,2024-03-18,true
r_000026,t_0008,s_000171,2024-02-27,true
r_000027,t_0009,s_000180,2024-06-22,true
r_000028,t_0009,s_000186,2024-06-16,true
r_000029,t_0009,s_000189,2024-07-28,false
r_000030,t_0009,s_000196,2024-07-05,true
r_000031,t_0010,s_000203,2024-12-31,false
r_000032,t_0010,s_000204,2024-12-31,true
r_000033,t_0010,s_000216,2024-12-31,false
r_000034,t_0010,s_000224,2024-12-31,false
r_000035,t_0010,s_000226,2024-12-31,false
r_000036,t_0011,s_000231,2024-05-23,true
r_000037,t_0011,s_000235,2024-05-31,true
r_000038,t_0011,s_000252,2024-05-27,true
r_000039,t_0012,s_000257,2024-08-14,true
r_000040,t_0012,s_000261,2024-08-27,true
r_000041,t_0012,s_000264,2024-08-01,false
r_000042,t_0012,s_000270,2024-08-25,true
r_000043,t_0012,s_000276,2024-08-05,true
r_000044,t_0014,s_000305,2024-05-12,true
r_000045,t_0014,s_000308,2024-05-07,false
r_000046,t_0014,s_000311,2024-06-12,false
r_000047,t_0014,s_000312,2024-05-21,false
r_000048,t_0014,s_000315,2024-06-02,true
r_000049,t_0015,s_000325,2024-08-10,true
r_000050,t_0016,s_000342,2024-07-30,false
r_000051,t_0016,s_000345,2024-07-10,true
r_000052,t_0017,s_000359,2024-07-19,true
r_000053,t_0017,s_000364,2024-07-14,true
r_000054,t_0017,s_000367,2024-06-22,true
r_000055,t_0017,s_000371,2024-07-31,true
r_000056,t_0019,s_000391,2024-09-20,false
r_000057,t_0019,s_000394,2024-10-05,true
r_000058,t_0020,s_000404,2024-05-01,true
r_000059,t_0020,s_000415,2024-04-25,false
r_000060,t_0021,s_000428,2024-05-12,false
r_000061,t_0021,s_000436,2024-05-04,false
r_000062,t_0022,s_000447,2024-07-17,true
r_000063,t_0022,s_000459,2024-08-18,false
r_000064,t_0022,s_000461,2024-08-10,false
r_000065,t_0023,s_000469,2024-10-16,true
r_000066,t_0023,s_000471,2024-12-08,false
r_000067,t_0024,s_000485,2024-10-07,true
r_000068,t_0024,s_000490,2024-10-19,true
r_000069,t_0024,s_000491,2024-10-28,true
r_000070,t_0025,s_000497,2024-09-12,true
r_000071,t_0027,s_000544,2024-11-13,false
r_000072,t_0028,s_000547,2024-11-08,true
r_000073,t_0028,s_000550,2024-10-03,false
r_000074,t_0028,s_000554,2024-11-22,false
r_000075,t_0028,s_000555,2024-10-07,true
r_000076,t_0029,s_000569,2024-07-15,true
r_000077,t_0029,s_000571,2024-07-15,true
r_000078,t_0030,s_000579,2024-06-04,true
r_000079,t_0030,s_000587,2024-06-18,true
r_000080,t_0031,s_000592,2024-03-24,true
r_000081,t_0031,s_000598,2024-02-11,true
r_000082,t_0031,s_000599,2024-04-01,true
r_000083,t_0031,s_000603,2024-03-27,true
r_000084,t_0031,s_000604,2024-02-27,true
r_000085,t_0032,s_000608,2024-10-05,true
r_000086,t_0032,s_000612,2024-09-19,false
r_000087,t_0032,s_000616,2024-09-19,false
r_000088,t_0032,s_000623,2024-10-01,true
r_000089,t_0032,s_000627,2024-10-11,true
r_000090,t_0033,s_000638,2024-09-28,true
