session_id,therapist_id,session_date,channel,page_views
s_000001,t_0001,2024-01-19,referral,7
s_000002,t_0001,2024-02-24,referral,3
s_000003,t_0001,2024-01-15,referral,4
s_000004,t_0001,2024-01-24,referral,3
s_000005,t_0001,2024-01-25,referral,3
s_000006,t_0001,2024-02-13,referral,4
s_000007,t_0001,2024-01-19,referral,3
s_000008,t_0001,2024-02-18,referral,6
s_000009,t_0001,2024-02-24,referral,6
s_000010,t_0001,2024-02-15,referral,7
s_000011,t_0001,2024-02-26,referral,7
s_000012,t_0001,2024-01-29,referral,3
s_000013,t_0001,2024-02-05,referral,4
s_000014,t_0002,2024-12-31,referral,3
s_000015,t_0002,2024-12-12,referral,4
s_000016,t_0002,2024-12-31,referral,6
s_000017,t_0002,2024-12-31,referral,3
s_000018,t_0002,2024-12-31,referral,3
s_000019,t_0002,2024-12-31,referral,7
s_000020,t_0002,2024-12-31,referral,6
s_000021,t_0002,2024-12-31,referral,5
s_000022,t_0002,2024-12-31,referral,3
s_000023,t_0002,2024-12-31,referral,7
s_000024,t_0002,2024-12-29,referral,7
s_000025,t_0002,2024-12-14,referral,3
s_000026,t_0002,2024-12-31,referral,5
s_000027,t_0002,2024-12-16,referral,4
s_000028,t_0002,2024-12-31,referral,3
s_000029,t_0002,2024-12-18,referral,4
s_000030,t_0002,2024-12-31,referral,6
s_000031,t_0002,2024-12-24,referral,4
s_000032,t_0002,2024-12-31,referral,4
s_000033,t_0002,2024-12-31,referral,4
s_000034,t_0002,2024-12-31,referral,7
s_000035,t_0002,2024-12-31,referral,3
s_000036,t_0002,2024-12-31,referral,7
s_000037,t_0002,2024-12-31,referral,6
s_000038,t_0002,2024-12-31,referral,6
s_000039,t_0002,2024-12-31,referral,3
s_000040,t_0002,2024-12-22,referral,4
s_000041,t_0002,2024-12-31,referral,6
s_000042,t_0002,2024-12-31,referral,5
s_000043,t_0003,2024-01-26,organic,7
s_000044,t_0003,2024-02-23,organic,6
s_000045,t_0003,2024-03-15,organic,5
s_000046,t_0003,2024-03-13,organic,5
s_000047,t_0003,2024-02-20,organic,5
s_000048,t_0003,2024-03-10,organic,5
s_000049,t_0003,2024-02-11,organic,6
s_000050,t_0003,2024-03-08,organic,5
s_000051,t_0003,2024-02-23,organic,4
s_000052,t_0003,2024-02-21,organic,7
s_000053,t_0003,2024-01-29,organic,6
s_000054,t_0003,2024-03-05,organic,7
s_000055,t_0003,2024-03-15,organic,5
s_000056,t_0003,2024-02-08,organic,6
s_000057,t_0003,2024-02-13,organic,6
s_000058,t_0003,2024-01-16,organic,3
s_000059,t_0003,2024-02-03,organic,7
s_000060,t_0003,2024-01-17,organic,7
s_000061,t_0003,2024-01-24,organic,5
s_000062,t_0003,2024-01-16,organic,5
s_000063,t_0003,2024-01-30,organic,4
s_000064,t_0003,2024-03-10,organic,5
s_000065,t_0003,2024-01-17,organic,5
s_000066,t_0003,2024-03-14,organic,7
s_000067,t_0003,2024-02-17,organic,7
s_000068,t_0003,2024-02-21,organic,7
s_000069,t_0003,2024-01-25,organic,3
s_000070,t_0003,2024-01-18,organic,6
s_000071,t_0003,2024-02-07,organic,4
s_000072,t_0003,2024-01-24,organic,5
s_000073,t_0003,2024-02-08,organic,7
s_000074,t_0004,2024-04-25,paid_search,4
s_000075,t_0004,2024-06-01,paid_search,4
s_000076,t_0004,2024-04-16,paid_search,6
s_000077,t_0004,2024-05-06,paid_search,6
s_000078,t_0004,2024-06-08,paid_search,3
s_000079,t_0004,2024-05-27,paid_search,2
s_000080,t_0004,2024-05-27,paid_search,4
s_000081,t_0004,2024-05-31,paid_search,5
s_000082,t_0004,2024-04-22,paid_search,5
s_000083,t_0004,2024-06-02,paid_search,6
s_000084,t_0004,2024-06-02,paid_search,2
s_000085,t_0004,2024-05-19,paid_search,4
s_000086,t_0004,2024-04-13,paid_search,6
s_000087,t_0004,2024-05-05,paid_search,2
s_000088,t_0004,2024-05-30,paid_search,2
s_000089,t_0004,2024-06-08,paid_search,4
s_000090,t_0004,2024-05-03,paid_search,5
s_000091,t_0005,2024-12-26,paid_search,2
s_000092,t_0005,2024-12-22,paid_search,3
s_000093,t_0005,2024-12-14,paid_search,6
s_000094,t_0005,2024-12-26,paid_search,2
s_000095,t_0005,2024-12-07,paid_search,5
s_000096,t_0005,2024-10-31,paid_search,4
s_000097,t_0005,2024-11-30,paid_search,2
s_000098,t_0005,2024-11-17,paid_search,6
s_000099,t_0005,2024-12-03,paid_search,3
s_000100,t_0005,2024-11-17,paid_search,6
s_000101,t_0005,2024-12-11,paid_search,3
s_000102,t_0005,2024-11-06,paid_search,2
s_000103,t_0005,2024-12-10,paid_search,5
s_000104,t_0005,2024-11-25,paid_search,6
s_000105,t_0005,2024-12-03,paid_search,6
s_000106,t_0005,2024-11-02,paid_search,3
s_000107,t_0005,2024-11-24,paid_search,4
s_000108,t_0005,2024-12-17,paid_search,5
s_000109,t_0005,2024-11-06,paid_search,3
s_000110,t_0005,2024-11-18,paid_search,2
s_000111,t_0005,2024-11-27,paid_search,6
s_000112,t_0005,2024-12-14,paid_search,2
s_000113,t_0005,2024-12-02,paid_search,5
s_000114,t_0006,2024-06-28,referral,6
s_000115,t_0006,2024-07-25,referral,6
s_000116,t_0006,2024-08-11,referral,4
s_000117,t_0006,2024-08-10,referral,4
s_000118,t_0006,2024-07-23,referral,7
s_000119,t_0006,2024-07-05,referral,6
s_000120,t_0006,2024-07-18,referral,7
s_000121,t_0006,2024-07-05,referral,7
s_000122,t_0006,2024-08-01,referral,7
s_000123,t_0006,2024-07-08,referral,4
s_000124,t_0006,2024-06-27,referral,5
s_000125,t_0006,2024-08-11,referral,6
s_000126,t_0006,2024-07-13,referral,7
s_000127,t_0006,2024-06-28,referral,3
s_000128,t_0006,2024-08-04,referral,6
s_000129,t_0006,2024-07-20,referral,5
s_000130,t_0006,2024-07-15,referral,4
s_000131,t_0006,2024-07-13,referral,5
s_000132,t_0007,2024-08-23,paid_search,2
s_000133,t_0007,2024-08-31,paid_search,4
s_000134,t_0007,2024-07-23,paid_search,4
s_000135,t_0007,2024-08-21,paid_search,5
s_000136,t_0007,2024-08-21,paid_search,3
s_000137,t_0007,2024-08-10,paid_search,2
s_000138,t_0007,2024-09-10,paid_search,3
s_000139,t_0007,2024-07-25,paid_search,4
s_000140,t_0007,2024-07-22,paid_search,2
s_000141,t_0007,2024-07-20,paid_search,2
s_000142,t_0007,2024-07-28,paid_search,6
s_000143,t_0007,2024-09-10,paid_search,3
s_000144,t_0007,2024-09-06,paid_search,4
s_000145,t_0007,2024-07-13,paid_search,4
s_000146,t_0007,2024-08-26,paid_search,2
s_000147,t_0007,2024-08-01,paid_search,5
s_000148,t_0007,2024-08-12,paid_search,2
s_000149,t_0007,2024-08-03,paid_search,3
s_000150,t_0007,2024-08-29,paid_search,6
s_000151,t_0007,2024-07-26,paid_search,3
s_000152,t_0007,2024-08-16,paid_search,6
s_000153,t_0007,2024-08-30,paid_search,4
s_000154,t_0007,2024-08-17,paid_search,5
s_000155,t_0007,2024-08-21,paid_search,3
s_000156,t_0007,2024-08-26,paid_search,2
s_000157,t_0007,2024-08-06,paid_search,6
s_000158,t_0007,2024-09-08,paid_search,6
s_000159,t_0007,2024-07-15,paid_search,4
s_000160,t_0007,2024-07-23,paid_search,2
s_000161,t_0008,2024-02-04,paid_search,6
s_000162,t_0008,2024-02-09,paid_search,2
s_000163,t_0008,2024-02-21,paid_search,2
s_000164,t_0008,2024-01-27,paid_search,5
s_000165,t_0008,2024-03-05,paid_search,4
s_000166,t_0008,2024-03-05,paid_search,4
s_000167,t_0008,2024-03-18,paid_search,2
s_000168,t_0008,2024-01-24,paid_search,4
s_000169,t_0008,2024-03-18,paid_search,5
s_000170,t_0008,2024-02-06,paid_search,5
s_000171,t_0008,2024-02-24,paid_search,2
s_000172,t_0008,2024-03-20,paid_search,4
s_000173,t_0008,2024-02-23,paid_search,6
s_000174,t_0008,2024-02-26,paid_search,2
s_000175,t_0008,2024-02-03,paid_search,3
s_000176,t_0008,2024-02-24,paid_search,5
s_000177,t_0008,2024-02-27,paid_search,2
s_000178,t_0008,2024-01-25,paid_search,3
s_000179,t_0008,2024-03-22,paid_search,6
s_000180,t_0009,2024-06-20,paid_search,5
s_000181,t_0009,2024-06-24,paid_search,3
s_000182,t_0009,2024-05-31,paid_search,4
s_000183,t_0009,2024-07-12,paid_search,4
s_000184,t_0009,2024-06-21,paid_search,4
s_000185,t_0009,2024-06-14,paid_search,6
s_000186,t_0009,2024-06-16,paid_search,2
s_000187,t_0009,2024-07-09,paid_search,4
s_000188,t_0009,2024-07-25,paid_search,5
s_000189,t_0009,2024-07-25,paid_search,2
s_000190,t_0009,2024-07-29,paid_search,6
s_000191,t_0009,2024-07-29,paid_search,4
s_000192,t_0009,2024-06-13,paid_search,3
s_000193,t_0009,2024-06-20,paid_search,5
s_000194,t_0009,2024-07-11,paid_search,3
s_000195,t_0009,2024-06-04,paid_search,5
s_000196,t_0009,2024-07-02,paid_search,6
s_000197,t_0009,2024-07-24,paid_search,3
s_000198,t_0009,2024-06-25,paid_search,3
s_000199,t_0010,2024-12-31,organic,6
s_000200,t_0010,2024-12-31,organic,7
s_000201,t_0010,2024-12-31,organic,6
s_000202,t_0010,2024-12-31,organic,4
s_000203,t_0010,2024-12-31,organic,4
s_000204,t_0010,2024-12-31,organic,7
s_000205,t_0010,2024-12-31,organic,4
s_000206,t_0010,2024-12-31,organic,4
s_000207,t_0010,2024-12-31,organic,7
s_000208,t_0010,2024-12-31,organic,4
s_000209,t_0010,2024-12-31,organic,4
s_000210,t_0010,2024-12-31,organic,7
s_000211,t_0010,2024-12-31,organic,4
s_000212,t_0010,2024-12-31,organic,3
s_000213,t_0010,2024-12-31,organic,7
s_000214,t_0010,2024-12-31,organic,3
s_000215,t_0010,2024-12-31,organic,5
s_000216,t_0010,2024-12-31,organic,4
s_000217,t_0010,2024-12-31,organic,3
s_000218,t_0010,2024-12-31,organic,5
s_000219,t_0010,2024-12-31,organic,6
s_000220,t_0010,2024-12-31,organic,5
s_000221,t_0010,2024-12-31,organic,5
s_000222,t_0010,2024-12-31,organic,4
s_000223,t_0010,2024-12-31,organic,4
s_000224,t_0010,2024-12-31,organic,3
s_000225,t_0010,2024-12-31,organic,7
s_000226,t_0010,2024-12-31,organic,5
s_000227,t_0011,2024-06-04,social,6
s_000228,t_0011,2024-05-13,social,6
s_000229,t_0011,2024-05-13,social,3
s_000230,t_0011,2024-06-11,social,2
s_000231,t_0011,2024-05-21,social,2
s_000232,t_0011,2024-06-12,social,5
s_000233,t_0011,2024-05-07,social,6
s_000234,t_0011,2024-06-22,social,6
s_000235,t_0011,2024-05-29,social,4
s_000236,t_0011,2024-05-10,social,5
s_000237,t_0011,2024-05-30,social,5
s_000238,t_0011,2024-05-07,social,3
s_000239,t_0011,2024-05-11,social,3
s_000240,t_0011,2024-05-01,social,5
s_000241,t_0011,2024-06-16,social,2
s_000242,t_0011,2024-06-27,social,4
s_000243,t_0011,2024-06-28,social,5
s_000244,t_0011,2024-05-13,social,3
s_000245,t_0011,2024-06-16,social,3
s_000246,t_0011,2024-05-03,social,3
s_000247,t_0011,2024-06-27,social,5
s_000248,t_0011,2024-06-23,social,6
s_000249,t_0011,2024-05-30,social,4
s_000250,t_0011,2024-06-23,social,5
s_000251,t_0011,2024-06-24,social,3
s_000252,t_0011,2024-05-26,social,5
s_000253,t_0011,2024-06-17,social,2
s_000254,t_0011,2024-06-06,social,5
s_000255,t_0011,2024-06-14,social,4
s_000256,t_0012,2024-08-13,referral,7
s_000257,t_0012,2024-08-12,referral,7
s_000258,t_0012,2024-08-07,referral,3
s_000259,t_0012,2024-08-07,referral,3
s_000260,t_0012,2024-08-02,referral,6
s_000261,t_0012,2024-08-26,referral,3
s_000262,t_0012,2024-08-30,referral,4
s_000263,t_0012,2024-08-07,referral,7
s_000264,t_0012,2024-07-30,referral,3
s_000265,t_0012,2024-08-09,referral,6
s_000266,t_0012,2024-08-07,referral,3
s_000267,t_0012,2024-07-17,referral,5
s_000268,t_0012,2024-08-02,referral,6
s_000269,t_0012,2024-08-30,referral,5
s_000270,t_0012,2024-08-23,referral,5
s_000271,t_0012,2024-08-03,referral,4
s_000272,t_0012,2024-08-01,referral,5
s_000273,t_0012,2024-08-13,referral,3
s_000274,t_0012,2024-08-18,referral,7
s_000275,t_0012,2024-08-31,referral,4
s_000276,t_0012,2024-08-03,referral,6
s_000277,t_0012,2024-07-10,referral,7
s_000278,t_0013,2024-12-26,referral,7
s_000279,t_0013,2024-12-31,referral,7
s_000280,t_0013,2024-12-23,referral,6
s_000281,t_0013,2024-12-31,referral,5
s_000282,t_0013,2024-12-31,referral,3
s_000283,t_0013,2024-12-26,referral,6
s_000284,t_0013,2024-12-31,referral,4
s_000285,t_0013,2024-12-31,referral,6
s_000286,t_0013,2024-12-20,referral,5
s_000287,t_0013,2024-12-31,referral,4
s_000288,t_0013,2024-12-31,referral,3
s_000289,t_0013,2024-12-20,referral,3
s_000290,t_0013,2024-12-31,referral,6
s_000291,t_0014,2024-05-28,organic,3
s_000292,t_0014,2024-06-07,organic,6
s_000293,t_0014,2024-06-20,organic,7
s_000294,t_0014,2024-06-13,organic,4
s_000295,t_0014,2024-05-29,organic,7
s_000296,t_0014,2024-05-29,organic,3
s_000297,t_0014,2024-06-23,organic,4
s_000298,t_0014,2024-07-02,organic,5
s_000299,t_0014,2024-06-10,organic,4
s_000300,t_0014,2024-05-15,organic,4
s_000301,t_0014,2024-05-16,organic,3
s_000302,t_0014,2024-05-31,organic,5
s_000303,t_0014,2024-05-24,organic,6
s_000304,t_0014,2024-05-23,organic,4
s_000305,t_0014,2024-05-12,organic,4
s_000306,t_0014,2024-05-17,organic,3
s_000307,t_0014,2024-06-13,organic,5
s_000308,t_0014,2024-05-05,organic,6
s_000309,t_0014,2024-06-05,organic,6
s_000310,t_0014,2024-06-08,organic,3
s_000311,t_0014,2024-06-12,organic,6
s_000312,t_0014,2024-05-20,organic,4
s_000313,t_0014,2024-06-11,organic,6
s_000314,t_0014,2024-06-03,organic,6
s_000315,t_0014,2024-06-02,organic,3
s_000316,t_0014,2024-06-12,organic,7
s_000317,t_0014,2024-05-05,organic,4
s_000318,t_0014,2024-06-30,organic,7
s_000319,t_0014,2024-05-22,organic,7
s_000320,t_0014,2024-06-14,organic,7
s_000321,t_0015,2024-06-18,paid_search,3
s_000322,t_0015,2024-06-24,paid_search,2
s_000323,t_0015,2024-07-26,paid_search,4
s_000324,t_0015,2024-06-17,paid_search,3
s_000325,t_0015,2024-08-08,paid_search,2
s_000326,t_0015,2024-07-27,paid_search,6
s_000327,t_0015,2024-08-07,paid_search,6
s_000328,t_0015,2024-07-04,paid_search,4
s_000329,t_0015,2024-08-12,paid_search,2
s_000330,t_0015,2024-06-18,paid_search,2
s_000331,t_0015,2024-07-11,paid_search,3
s_000332,t_0015,2024-06-25,paid_search,4
s_000333,t_0015,2024-07-24,paid_search,6
s_000334,t_0015,2024-07-21,paid_search,6
s_000335,t_0015,2024-06-26,paid_search,5
s_000336,t_0015,2024-08-01,paid_search,6
s_000337,t_0016,2024-08-08,partner,3
s_000338,t_0016,2024-06-15,partner,5
s_000339,t_0016,2024-06-30,partner,5
s_000340,t_0016,2024-08-06,partner,6
s_000341,t_0016,2024-08-01,partner,3
s_000342,t_0016,2024-07-28,partner,6
s_000343,t_0016,2024-08-02,partner,7
s_000344,t_0016,2024-06-14,partner,5
s_000345,t_0016,2024-07-10,partner,4
s_000346,t_0016,2024-06-17,partner,5
s_000347,t_0016,2024-07-01,partner,7
s_000348,t_0016,2024-07-06,partner,7
s_000349,t_0016,2024-06-23,partner,4
s_000350,t_0016,2024-07-19,partner,3
s_000351,t_0016,2024-06-16,partner,7
s_000352,t_0016,2024-07-26,partner,7
s_000353,t_0016,2024-06-15,partner,6
s_000354,t_0016,2024-07-26,partner,7
s_000355,t_0016,2024-08-08,partner,5
s_000356,t_0016,2024-07-07,partner,7
s_000357,t_0016,2024-08-03,partner,5
s_000358,t_0017,2024-07-13,partner,7
s_000359,t_0017,2024-07-19,partner,5
s_000360,t_0017,2024-08-08,partner,4
s_000361,t_0017,2024-07-19,partner,7
s_000362,t_0017,2024-07-11,partner,7
s_000363,t_0017,2024-07-26,partner,6
s_000364,t_0017,2024-07-11,partner,4
s_000365,t_0017,2024-08-05,partner,7
s_000366,t_0017,2024-06-24,partner,5
s_000367,t_0017,2024-06-22,partner,3
s_000368,t_0017,2024-06-17,partner,3
s_000369,t_0017,2024-07-09,partner,3
s_000370,t_0017,2024-07-27,partner,4
s_000371,t_0017,2024-07-31,partner,7
s_000372,t_0017,2024-07-06,partner,6
s_000373,t_0017,2024-06-12,partner,5
s_000374,t_0017,2024-07-02,partner,7
s_000375,t_0017,2024-07-31,partner,4
s_000376,t_0018,2024-04-21,paid_search,3
s_000377,t_0018,2024-04-25,paid_search,4
s_000378,t_0018,2024-03-28,paid_search,2
s_000379,t_0018,2024-03-31,paid_search,4
s_000380,t_0018,2024-04-13,paid_search,6
s_000381,t_0018,2024-04-01,paid_search,2
s_000382,t_0018,2024-03-19,paid_search,4
s_000383,t_0018,2024-04-02,paid_search,5
s_000384,t_0018,2024-04-27,paid_search,6
s_000385,t_0018,2024-04-20,paid_search,2
s_000386,t_0019,2024-08-19,referral,5
s_000387,t_0019,2024-09-29,referral,5
s_000388,t_0019,2024-10-05,referral,6
s_000389,t_0019,2024-10-04,referral,6
s_000390,t_0019,2024-09-27,referral,3
s_000391,t_0019,2024-09-17,referral,4
s_000392,t_0019,2024-09-06,referral,4
s_000393,t_0019,2024-09-16,referral,6
s_000394,t_0019,2024-10-03,referral,7
s_000395,t_0019,2024-10-03,referral,5
s_000396,t_0019,2024-09-05,referral,6
s_000397,t_0019,2024-10-05,referral,3
s_000398,t_0019,2024-09-29,referral,7
s_000399,t_0019,2024-08-26,referral,7
s_000400,t_0019,2024-09-22,referral,5
s_000401,t_0020,2024-04-14,social,2
s_000402,t_0020,2024-03-24,social,6
s_000403,t_0020,2024-04-23,social,4
s_000404,t_0020,2024-05-01,social,4
s_000405,t_0020,2024-03-15,social,3
s_000406,t_0020,2024-03-28,social,2
s_000407,t_0020,2024-04-01,social,5
s_000408,t_0020,2024-04-20,social,6
s_000409,t_0020,2024-05-03,social,3
s_000410,t_0020,2024-04-16,social,6
s_000411,t_0020,2024-04-04,social,3
s_000412,t_0020,2024-04-18,social,2
s_000413,t_0020,2024-05-05,social,4
s_000414,t_0020,2024-04-25,social,4
s_000415,t_0020,2024-04-25,social,2
